kingdom,phylum,class,order,family,genus,species
k__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter,s__Aliarcobacter pacificus
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Komagataeibacter,s__Komagataeibacter medellinensis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__UBA2227,s__UBA2227 sp002348095
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Bartonella,s__Bartonella sp002022445
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Rhodospirillum_A,s__Rhodospirillum_A centenum
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Caloramatoraceae,g__Caloramator,s__Caloramator mitchellensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Woeseiales,f__Woeseiaceae,g__SZUA-117,s__SZUA-117 sp004357475
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Pleomorphomonadaceae,g__Pleomorphomonas,s__Pleomorphomonas diazotrophica
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA2856,s__UBA2856 sp002392705
k__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-1000,s__CAG-1000 sp004560915
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__UBA7434,g__UBA7434,s__UBA7434 sp004283095
k__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__UBA2163,g__C7867-001,s__C7867-001 sp001781625
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__An200,s__An200 sp002160025
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium_A,s__Hyphomicrobium_A sulfonivorans
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus sp900631945
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyrivibrio,s__Butyrivibrio sp000420825
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Im1,g__Rhodoligotrophos,s__Rhodoligotrophos sp005281615
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium paludicola_A
k__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Staskawiczbacteraceae,g__01-FULL-38-12b,s__01-FULL-38-12b sp001820255
k__Bacteria,p__Patescibacteria,c__Andersenbacteria,o__UBA10190,f__UBA10190,g__GCA-2686445,s__GCA-2686445 sp002686445
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium malaysiense
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__Mucilaginibacter oryzae
k__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__UBA11963,s__UBA11963 sp900552975
k__Bacteria,p__Patescibacteria,c__WWE3,o__UBA101185,f__UBA10185,g__UBA1397,s__UBA1397 sp002305205
k__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotalea,s__Nitrosotalea sp007280465
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Butyricicoccus,s__Butyricicoccus sp900604335
k__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chloroherpetonaceae,g__GBChlB,s__GBChlB sp000724175
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium sp004119495
k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Rubritalea,s__Rubritalea marina
k__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,s__Methanobacterium_B lacus
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola,s__Pseudooceanicola sp004959925
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces sp900323545
k__Bacteria,p__SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__JCVI-SCAAA005,s__JCVI-SCAAA005 sp003541985
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__Cellulomonas massiliensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__R4HLG17,s__R4HLG17 sp003012345
k__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__UMGS951,s__UMGS951 sp900547155
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella_C,s__Moraxella_C lincolnii
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Cryobacterium,s__Cryobacterium sp002929505
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__PAR1,s__PAR1 sp002928875
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__BBW3,g__UBA5261,s__UBA5261 sp002345825
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus aquimaris
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__CACIAM-69d,f__CACIAM-69d,g__CACIAM-69d,s__CACIAM-69d sp001913845
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides helcogenes
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__SCN-69-89,s__SCN-69-89 sp003577305
k__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__CAG-196,s__CAG-196 sp900553895
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Trichormus_A,s__Trichormus_A variabilis_A
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__SR-FBR-E99,s__SR-FBR-E99 sp006227095
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,s__Arthrobacter sp002929275
k__Bacteria,p__Omnitrophota,c__Koll11,o__UBA1572,f__UBA1572,g__UBA9636,s__UBA9636 sp003451585
k__Bacteria,p__Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__UBA1611,g__GCA-002718655,s__GCA-002718655 sp002167345
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,g__40-19,s__40-19 sp001898075
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__GCA-002723295,s__GCA-002723295 sp002721275
k__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobaculum,s__Chlorobaculum parvum
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA1066,s__UBA1066 sp900314565
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__Cellulomonas sp003755175
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,s__Pelagibacter sp003215185
k__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus terrae_B
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia sp900104795
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__TMED127,f__TMED127,g__GCA-2715305,s__GCA-2715305 sp002706585
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Mangrovibacter,s__Mangrovibacter phragmitis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio aestivus
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,s__Variovorax sp900114785
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter sp004331675
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__Bradyrhizobium sp000282615
k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Ga0077529,g__GCA-2702655,s__GCA-2702655 sp002702655
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,s__Pelagibacter sp003282945
k__Bacteria,p__Patescibacteria,c__Microgenomatia,o__UBA1406,f__GWC2-37-13,g__YC2-FULL-38-9,s__YC2-FULL-38-9 sp002784505
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Fibrisoma,s__Fibrisoma limi
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Herbaspirillum,s__Herbaspirillum sp004134995
k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__SKUG01,g__SKUG01,s__SKUG01 sp007122215
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__CAG-873 sp900550395
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Firm-04,s__Firm-04 sp003446315
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Hyphobacterium,s__Hyphobacterium indicum
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter,s__Marinobacter santoriniensis
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-127,s__CAG-127 sp900321145
k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__RBG-13-43-22,f__RBG-13-43-22,g__RBG-13-43-22,s__RBG-13-43-22 sp001797675
k__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__HR1,g__UBA7939,s__UBA7939 sp7939u
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter rarus
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__Rhizobium sp900466605
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__Sphingopyxis sp002842935
k__Bacteria,p__Aquificota,c__Aquificae,o__Aquificales,f__Aquificaceae,g__Thermocrinis,s__Thermocrinis ruber
k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__ISO4-G1,s__ISO4-G1 sp001563305
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Herminiimonas,s__Herminiimonas sp001464355
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__HIMB100,s__HIMB100 sp002721775
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__UBA8649,g__UBA8649,s__UBA8649 sp003447535
k__Archaea,p__Methanobacteriota,c__Thermococci,o__Methanofastidiosales,f__Methanofastidiosaceae,g__Methanofastidiosum,s__Methanofastidiosum sp001587715
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas prydzensis
k__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__Fen-1039 sp003171255
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__ALPHA2B,s__ALPHA2B sp003671765
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Marinococcaceae,g__Sinobaca,s__Sinobaca qinghaiensis
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus,s__Algoriphagus sp003259255
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Xylanimonas,s__Xylanimonas ulmi
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002405875
k__Bacteria,p__Patescibacteria,c__ABY1,o__UBA10025,f__UM-FILTER-42-10,g__UM-FILTER-42-10,s__UM-FILTER-42-10 sp002774635
k__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Aciduliprofundales,f__Aciduliprofundaceae,g__Aciduliprofundum,s__Aciduliprofundum sp000327505
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Prochlorococcus,s__Prochlorococcus sp003215555
k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Labilithrix,s__Labilithrix luteola
k__Bacteria,p__Aquificota,c__Desulfurobacteriia,o__Desulfurobacteriales,f__Desulfurobacteriaceae,g__Thermovibrio,s__Thermovibrio ammonificans
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Neomicrococcus,s__Neomicrococcus aestuarii
k__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__Fimbriimonas,s__Fimbriimonas sp002336105
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA866,s__UBA866 sp002295325
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E sp002165135
k__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__UBA11361,s__UBA11361 sp005880425
k__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__Christensenellaceae,g__Christensenella,s__Christensenella massiliensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SZUA-229,f__SZUA-229,g__GCA-2746365,s__GCA-2746365 sp002746365
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter piscicola_A
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__56-14-T64,s__56-14-T64 sp004006175
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Marinospirillum,s__Marinospirillum sp007119985
k__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Palsa-1295,f__Palsa-1295,g__PALSA-1295,s__PALSA-1295 sp003151825
k__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae_B,g__Oceanispirochaeta,s__Oceanispirochaeta sp003249275
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Xenococcaceae,g__Stanieria,s__Stanieria sp002355455
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas ureae_B
k__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Propionisporales,f__Pelosinaceae,g__Pelosinus,s__Pelosinus fermentans_B
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium sp001898925
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas oligophenolica
k__Bacteria,p__Patescibacteria,c__Dojkabacteria,o__SC72,f__T1SED10-24,g__PWIP01,s__PWIP01 sp007136035
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Achromobacter,s__Achromobacter sp000757485
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter sp002135315
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Prochlorococcus_A,s__Prochlorococcus_A sp003208695
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae,g__Motiliproteus,s__Motiliproteus sp001968815
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Henriciella,s__Henriciella barbarensis
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavipsychrobacter,s__Flavipsychrobacter sp002127285
k__Bacteria,p__Firmicutes_E,c__DTU015,o__UBA8153,f__UBA8153,g__UBA8153,s__UBA8153 sp003449495
k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA823,g__UBA2161,s__UBA2161 sp002730525
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Salinisphaeraceae,g__Salinisphaera,s__Salinisphaera halophila
k__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Shapirobacterales,f__UBA12405,g__UBA1435,s__UBA1435 sp002329385
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Tokpelaia,s__Tokpelaia sp003331105
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseivivax,s__Roseivivax isoporae
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Robiginitomaculum_A,s__Robiginitomaculum_A sp004283035
k__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,g__CSSed11-197,s__CSSed11-197 sp003563865
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces sp000424785
k__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Phoenicibacter,s__Phoenicibacter congonensis
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__UBA2359,g__UBA2359,s__UBA2359 sp002212725
k__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA10030,g__UBA9647,s__UBA9647 sp003519375
k__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Alicyclobacillales,f__Alicyclobacillaceae,g__Alicyclobacillus,s__Alicyclobacillus vulcanalis
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium hodleri_A
k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__UBA5794,f__UBA11373,g__RBG-16-68-21,s__RBG-16-68-21 sp001767695
k__Bacteria,p__Firmicutes_D,c__UBA994,o__UBA994,f__UBA5500,g__UBA5500,s__UBA5500 sp002427055
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio marisflavi
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas_A,s__Roseomonas_A sp003173615
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA1213,s__UBA1213 sp900317395
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Companilactobacillus,s__Companilactobacillus sp004745525
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,s__Shewanella sediminis
k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Roseibacillus,s__Roseibacillus sp003483645
k__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,f__AMARA-1,g__AMARA-1,s__AMARA-1 sp004524545
k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Sedimentisphaerales,f__Anaerohalophaeraceae,g__SG8-4,s__SG8-4 sp005223045
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Kangiellaceae,g__Pleionea,s__Pleionea mediterranea
k__Bacteria,p__Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__J089,g__J089,s__J089 sp003695105
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,s__Mesorhizobium sp000824825
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter_A,s__Erythrobacter_A vulgaris
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Ruminococcus_B,s__Ruminococcus_B sp900544395
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis sp006475605
k__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-552,g__UBA10677,s__UBA10677 sp900543755
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Paucilactobacillus,s__Paucilactobacillus nenjiangensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__TMED48,s__TMED48 sp002731695
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium,s__Methylobacterium phyllostachyos
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__COE1,s__COE1 sp000403215
k__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__UBA6170,s__UBA6170 sp002840755
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Rhodoferax,s__Rhodoferax sp001770935
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900107705
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__SZUA-381,s__SZUA-381 sp003247185
k__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__PWMZ01,g__PWMZ01,s__PWMZ01 sp003556925
k__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__BD1-5,f__UBA6164,g__GN02-872,s__GN02-872 sp003260325
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter_F,s__Arthrobacter_F crystallopoietes_B
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Leminorella,s__Leminorella richardii
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__Roseiarcus sp004799435
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Hathewaya,s__Hathewaya sp003288255
k__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces sp900215615
k__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanococcoides,s__Methanococcoides methylutens_A
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA1066,s__UBA1066 sp002316215
k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA1096,g__UBA1096,s__UBA1096 sp003972865
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Yoonia,s__Yoonia sp003318235
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ruegeria,s__Ruegeria sp900313035
k__Bacteria,p__Myxococcota,c__UBA9042,o__GCA-2863065,f__GCA-2863065,g__SXOX01,s__SXOX01 sp005776585
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Rhodoferax,s__Rhodoferax sp002390825
k__Bacteria,p__CSP1-3,c__CSP1-3,o__CSP1-3,f__13-1-40CM-64-14,g__NP-4,s__NP-4 sp005888595
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas rubra
k__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus_A,s__Paenibacillus_A sp000159955
k__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter sp900550545
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Vicingaceae,g__UBA1494_A,s__UBA1494_A sp002713165
k__Bacteria,p__Patescibacteria,c__Paceibacteria,o__2-02-FULL-40-12,f__GWA2-44-9,g__2-01-FULL-41-26,s__2-01-FULL-41-26 sp001794055
k__Bacteria,p__Verrucomicrobiota_A,c__Chlamydiia,o__Parachlamydiales,f__Rhabdochlamydiaceae,g__Rhabdochlamydia,s__Rhabdochlamydia sp901000775
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Oceanobacillus_A,s__Oceanobacillus_A limi
k__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfonatronovibrionaceae,g__Desulfonatronospira,s__Desulfonatronospira sp007127015
