species,count
"s__Streptomyces zinciresistens",1
"s__Streptomyces sp000154905",1
"s__Streptomyces sp000158895",3
"s__Streptomyces sp000177195",9
"s__Streptomyces sp000213055",8
"s__Streptomyces sp000373565",1
"s__Streptomyces sp000373585",1
"s__Streptomyces sp000373625",1
"s__Streptomyces sp000373645",1
"s__Streptomyces sp000377145",1
"s__Streptomyces sp000377965",1
"s__Streptomyces sp000383935",2
"s__Streptomyces sp000411315",1
"s__Streptomyces sp000412265",7
"s__Streptomyces sp000424765",4
"s__Streptomyces sp000424785",1
"s__Streptomyces sp000424825",1
"s__Streptomyces sp000424845",1
"s__Streptomyces sp000424965",1
"s__Streptomyces sp000426165",1
"s__Streptomyces sp000426325",2
"s__Streptomyces sp000470535",1
"s__Streptomyces sp000482585",1
"s__Streptomyces sp000497405",1
"s__Streptomyces sp000500635",1
"s__Streptomyces sp000514715",1
"s__Streptomyces sp000527195",1
"s__Streptomyces sp000612545",1
"s__Streptomyces sp000716335",1
"s__Streptomyces sp000716605",1
"s__Streptomyces sp000717875",2
"s__Streptomyces sp000717915",4
"s__Streptomyces sp000718775",1
"s__Streptomyces sp000718785",1
"s__Streptomyces sp000718945",1
"s__Streptomyces sp000719335",1
"s__Streptomyces sp000719345",1
"s__Streptomyces sp000719475",1
"s__Streptomyces sp000719555",1
"s__Streptomyces sp000719775",1
"s__Streptomyces sp000720115",1
"s__Streptomyces sp000720135",2
"s__Streptomyces sp000720145",1
"s__Streptomyces sp000720175",2
"s__Streptomyces sp000720185",1
"s__Streptomyces sp000720215",2
"s__Streptomyces sp000720325",1
"s__Streptomyces sp000720765",2
"s__Streptomyces sp000720845",1
"s__Streptomyces sp000721265",1
"s__Streptomyces sp000721275",1
"s__Streptomyces sp000721375",1
"s__Streptomyces sp000721515",1
"s__Streptomyces sp000721605",1
"s__Streptomyces sp000725625",4
"s__Streptomyces sp000772045",3
"s__Streptomyces sp000805335",1
"s__Streptomyces sp000818175",1
"s__Streptomyces sp000818195",1
"s__Streptomyces sp000829695",2
"s__Streptomyces sp000964305",2
"s__Streptomyces sp000972385",1
"s__Streptomyces sp000974485",1
"s__Streptomyces sp001049855",2
"s__Streptomyces sp001083795",1
"s__Streptomyces sp001184025",2
"s__Streptomyces sp001279695",1
"s__Streptomyces sp001279725",1
"s__Streptomyces sp001279775",1
"s__Streptomyces sp001280005",1
"s__Streptomyces sp001280015",1
"s__Streptomyces sp001280065",1
"s__Streptomyces sp001280125",3
"s__Streptomyces sp001282115",2
"s__Streptomyces sp001293595",2
"s__Streptomyces sp001298545",4
"s__Streptomyces sp001298555",1
"s__Streptomyces sp001298575",1
"s__Streptomyces sp001417735",1
"s__Streptomyces sp001417775",1
"s__Streptomyces sp001418285",3
"s__Streptomyces sp001426405",2
"s__Streptomyces sp001426585",3
"s__Streptomyces sp001427245",3
"s__Streptomyces sp001428885",1
"s__Streptomyces sp001445655",1
"s__Streptomyces sp001484565",1
"s__Streptomyces sp001507435",3
"s__Streptomyces sp001509485",1
"s__Streptomyces sp001509795",3
"s__Streptomyces sp001514285",1
"s__Streptomyces sp001514305",1
"s__Streptomyces sp001590865",1
"s__Streptomyces sp001636945",1
"s__Streptomyces sp001653515",1
"s__Streptomyces sp001654495",2
"s__Streptomyces sp001687325",1
"s__Streptomyces sp001746295",1
"s__Streptomyces sp001746365",1
"s__Streptomyces sp001748085",1
"s__Streptomyces sp001865245",2
"s__Streptomyces sp001866645",1
"s__Streptomyces sp001866675",2
"s__Streptomyces sp001895105",1
"s__Streptomyces sp001905005",1
"s__Streptomyces sp001905125",1
"s__Streptomyces sp001905365",1
"s__Streptomyces sp001905385",1
"s__Streptomyces sp001905445",1
"s__Streptomyces sp001905505",1
"s__Streptomyces sp001905595",1
"s__Streptomyces sp001905665",1
"s__Streptomyces sp001905725",1
"s__Streptomyces sp001905735",4
"s__Streptomyces sp001905795",1
"s__Streptomyces sp001905825",1
"s__Streptomyces sp001905845",1
"s__Streptomyces sp001905885",2
"s__Streptomyces sp001905905",1
"s__Streptomyces sp001941845",2
"s__Streptomyces sp001953885",1
"s__Streptomyces sp001984575",1
"s__Streptomyces sp002005565",1
"s__Streptomyces sp002027195",1
"s__Streptomyces sp002078175",1
"s__Streptomyces sp002080455",5
"s__Streptomyces sp002128305",1
"s__Streptomyces sp002188365",2
"s__Streptomyces sp002224125",1
"s__Streptomyces sp002237655",1
"s__Streptomyces sp002291145",1
"s__Streptomyces sp002300165",2
"s__Streptomyces sp002382885",1
"s__Streptomyces sp002551245",1
"s__Streptomyces sp002551355",1
"s__Streptomyces sp002573955",1
"s__Streptomyces sp002711365",4
"s__Streptomyces sp002754535",3
"s__Streptomyces sp002754675",1
"s__Streptomyces sp002754715",1
"s__Streptomyces sp002794255",1
"s__Streptomyces sp002797655",8
"s__Streptomyces sp002802945",3
"s__Streptomyces sp002803065",1
"s__Streptomyces sp002803075",1
"s__Streptomyces sp002803085",1
"s__Streptomyces sp002803155",1
"s__Streptomyces sp002813405",1
"s__Streptomyces sp002846415",1
"s__Streptomyces sp002846625",1
"s__Streptomyces sp002847285",3
"s__Streptomyces sp002899455",1
"s__Streptomyces sp002910755",3
"s__Streptomyces sp002910905",1
"s__Streptomyces sp002910915",1
"s__Streptomyces sp002920535",1
"s__Streptomyces sp002920575",1
"s__Streptomyces sp002920615",2
"s__Streptomyces sp002920635",1
"s__Streptomyces sp002939385",5
